time,rad2,rad3
279,0.003729695,0.197251747
280,0.004200275,0.203112576
281,0.004200717,0.203133953
282,0.003522297,0.203155332
283,0.003523038,0.203198097
284,0.003836042,0.206141054
285,0.003836446,0.20616275
286,0.003576322,0.207645541
287,0.003576698,0.207667395
288,0.00389091,0.210634219
289,0.003891319,0.210656387
290,0.004048656,0.215064145
291,0.004049082,0.215086779
292,0.003474389,0.213647247
293,0.00347512,0.213692221
294,0.002900483,0.213714711
295,0.002900788,0.213737204
296,0.003998741,0.216685578
297,0.003999583,0.216731191
298,0.003372626,0.218217403
299,0.003372981,0.21824037
300,0.003111019,0.218263339
301,0.003111346,0.21828631
302,0.00463081,0.218332261
303,0.004631297,0.218355239
304,0.003427569,0.218378221
305,0.00342793,0.218401204
306,0.003742277,0.219888979
307,0.003743065,0.219935266
308,0.00390075,0.219958414
309,0.00390116,0.219981564
310,0.004373543,0.221470275
311,0.004374004,0.221493584
312,0.004636662,0.220074188
313,0.00463715,0.22009735
314,0.005368337,0.221586845
315,0.005368902,0.221610166
316,0.003694362,0.220190023
317,0.005370598,0.221680145
318,0.005371163,0.221703476
319,0.004536116,0.193848932
320,0.004536593,0.193869334
321,0.005061629,0.183636105
322,0.005062162,0.183655432
323,0.005175496,0.18514279
324,0.00517604,0.185162276
325,0.003594056,0.185181763
326,0.003594812,0.185220745
327,0.00369942,0.183771437
328,0.00369981,0.183790779
329,0.003438408,0.183810122
330,0.003439132,0.183848815
331,0.00428091,0.185337739
332,0.004281361,0.185357246
333,0.003913085,0.185376754
334,0.003913497,0.185396264
335,0.003336134,0.183964943
336,0.003336485,0.183984305
337,0.002811706,0.181062353
338,0.002812002,0.181081409
339,0.004020684,0.176687565
340,0.004021531,0.176724759
341,0.003338592,0.176743358
342,0.003338944,0.17676196
343,0.004076017,0.176780564
344,0.004076446,0.176799169
345,0.003024274,0.172419767
346,0.003024593,0.172437914
347,0.002445872,0.172456063
348,0.002446129,0.172474213
349,0.002235262,0.169564557
350,0.002235497,0.169582403
351,0.003868882,0.165180378
352,0.003869289,0.165197762
353,0.004081168,0.153426337
354,0.004082027,0.153458634
355,0.004029156,0.149937025
356,0.00402958,0.149952805
357,0.003661483,0.147314709
358,0.003661869,0.147330213
359,0.003662639,0.1457389
360,0.003663025,0.145754239
361,0.004402174,0.147392247
362,0.004402637,0.14740776
363,0.003505978,0.144767439
364,0.003506716,0.144797914
365,0.004667997,0.14363241
366,0.004668488,0.143647526
367,0.002715619,0.141891157
368,0.002716191,0.141921025
369,0.004670454,0.140459256
370,0.004670946,0.140474039
371,0.00430259,0.14019342
372,0.004303043,0.140208175
373,0.004038496,0.137725967
374,0.004038921,0.137740462
375,0.002825351,0.136720503
376,0.002825648,0.136734892
377,0.004410985,0.133645261
378,0.004411914,0.133673394
379,0.005312911,0.132800319
380,0.005313471,0.132814296
381,0.003037991,0.131349391
382,0.003038311,0.131363215
383,0.003832974,0.129319776
384,0.003833377,0.129333387
385,0.003885612,0.126387674
386,0.003886021,0.126400976
387,0.003199102,0.123454332
388,0.003199775,0.12348032
