time,rad2,rad3
567,0.005834544,0.009235371
568,0.005835158,0.009236343
569,0.004692241,0.008426008
570,0.004693228,0.008427782
571,0.005379093,0.007884068
572,0.005379659,0.007884897
573,0.005534707,0.008430443
574,0.005535872,0.008432218
575,0.005459189,0.009116886
576,0.005459764,0.009117846
577,0.005231392,0.009054688
578,0.005232493,0.009056594
579,0.005233043,0.008907891
580,0.005233594,0.008908828
581,0.005844992,0.009529899
582,0.005845607,0.009530902
583,0.005846838,0.009062314
584,0.005847453,0.009063268
585,0.005543451,0.008443762
586,0.005544035,0.008444651
587,0.006309404,0.009195496
588,0.006310068,0.009196463
589,0.005621354,0.009753998
590,0.005851763,0.009412486
591,0.005852994,0.009414467
592,0.005088708,0.008246176
593,0.005089243,0.008247043
594,0.005854843,0.00961022
595,0.005856075,0.009612243
596,0.005781635,0.009677535
597,0.005782244,0.009678553
598,0.00624297,0.009550984
599,0.005476453,0.008995666
600,0.005477029,0.008996613
601,0.004712035,0.008255727
602,0.004712531,0.008256596
603,0.006783155,0.009086189
604,0.006783869,0.009087145
605,0.006784583,0.009216811
606,0.006785297,0.009217781
607,0.006709134,0.009627429
608,0.00670984,0.009628442
609,0.007784928,0.010037249
610,0.007785748,0.010038305
611,0.00510104,0.007856134
612,0.005102114,0.007857788
613,0.006255466,0.009570101
614,0.006256124,0.009571109
615,0.005027007,0.007929001
616,0.005028065,0.00793067
